Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
Loudoun County Virginia,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,615,625835,150465,14168,
Loudoun County Virginia,61,Educational services,All establishments,All establishments,2020,253,82692,22268,3017,
Loudoun County Virginia,62,Health care and social assistance,All establishments,All establishments,2020,1064,767491,191082,15130,
Loudoun County Virginia,71,Arts entertainment and recreation,All establishments,All establishments,2020,184,335080,42492,4524,
Loudoun County Virginia,72,Accommodation and food services,All establishments,All establishments,2020,798,316252,100811,17826,
Loudoun County Virginia,81,Other services (except public administration),All establishments,All establishments,2020,920,335900,87853,7578,
Loudoun County Virginia,99,Industries not classified,All establishments,All establishments,2020,23,1306,186,26,
Loudoun County Virginia,0,,All establishments,All establishments,2021,11720,11376219,2689652,164564,Total for all sectors
Loudoun County Virginia,11,,All establishments,All establishments,2021,27,2218,518,61,Agriculture forestry fishing and hunting
Loudoun County Virginia,21,,All establishments,All establishments,2021,7,23897,5347,199,Mining quarrying and oil and gas extraction
Loudoun County Virginia,22,,All establishments,All establishments,2021,8,11602,3292,127,Utilities
Loudoun County Virginia,23,,All establishments,All establishments,2021,911,1076546,247947,14266,Construction
Loudoun County Virginia,31-33,,All establishments,All establishments,2021,203,498233,118889,6223,Manufacturing
Loudoun County Virginia,42,,All establishments,All establishments,2021,298,267624,67381,3308,Wholesale trade
Loudoun County Virginia,44-45,,All establishments,All establishments,2021,1021,685927,148100,18656,Retail trade
Loudoun County Virginia,48-49,,All establishments,All establishments,2021,372,644773,145958,13302,Transportation and warehousing
Loudoun County Virginia,51,,All establishments,All establishments,2021,326,1256890,410171,9296,Information
Loudoun County Virginia,52,,All establishments,All establishments,2021,406,394186,89074,3552,Finance and insurance
Loudoun County Virginia,53,,All establishments,All establishments,2021,554,121741,26902,1621,Real estate and rental and leasing
Loudoun County Virginia,54,,All establishments,All establishments,2021,3584,3360660,777291,35121,Professional scientific and technical services
Loudoun County Virginia,55,,All establishments,All establishments,2021,50,370025,93240,4351,Management of companies and enterprises
Loudoun County Virginia,56,,All establishments,All establishments,2021,607,673219,129451,11819,Administrative and support and waste management and remediation services
Loudoun County Virginia,61,,All establishments,All establishments,2021,262,90364,20293,2750,Educational services
Loudoun County Virginia,62,,All establishments,All establishments,2021,1126,853083,196661,15456,Health care and social assistance
Loudoun County Virginia,71,,All establishments,All establishments,2021,188,298276,49439,2945,Arts entertainment and recreation
Loudoun County Virginia,72,,All establishments,All establishments,2021,802,381090,79138,14685,Accommodation and food services
Loudoun County Virginia,81,,All establishments,All establishments,2021,949,365226,80500,6802,Other services (except public administration)
Loudoun County Virginia,99,,All establishments,All establishments,2021,19,639,60,24,Industries not classified
Montgomery County Maryland,0,Total for all sectors,All establishments,All establishments,2019,27376,30287280,7884727,444313,
Montgomery County Maryland,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2019,24,3453,852,74,
Montgomery County Maryland,22,Utilities,All establishments,All establishments,2019,20,57093,18798,498,
Montgomery County Maryland,23,Construction,All establishments,All establishments,2019,2299,1872095,437407,27112,
Montgomery County Maryland,31-33,Manufacturing,All establishments,All establishments,2019,343,547368,139031,6043,
Montgomery County Maryland,42,Wholesale trade,All establishments,All establishments,2019,740,1157277,308093,10546,
Montgomery County Maryland,44-45,Retail trade,All establishments,All establishments,2019,2506,1563168,378955,45739,
Montgomery County Maryland,48-49,Transportation and warehousing,All establishments,All establishments,2019,312,133998,29391,2998,
Montgomery County Maryland,51,Information,All establishments,All establishments,2019,623,1660109,476720,15597,
