label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        Lacking complete kitchen facilities,7697,1443,0.012,0.2,1738,664,0.004,0.2,2245,940,0.005,0.2,2683,1174,0.008,0.3,9679,2293,0.01,0.2,1570,812,0.004,0.2,814,440,0.006,0.3
        No telephone service available,7409,1678,0.011000000000000001,0.3,2588,1068,0.006999999999999999,0.3,1343,827,0.003,0.2,1930,1023,0.006,0.3,8457,2194,0.009000000000000001,0.2,2435,862,0.006,0.2,702,567,0.005,0.4
OCCUPANTS PER ROOM,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Occupied housing units,665549,3723,6655.49,N/A,392629,2507,3926.29,N/A,481294,4227,4812.94,N/A,341597,3999,3415.97,N/A,993312,5968,9933.12,N/A,414946,2811,4149.46,N/A,145601,1354,1456.01,N/A
        1.00 or less,616408,5433,0.9259999999999999,0.6,380206,3149,0.968,0.5,472468,4600,0.982,0.5,329124,4783,0.963,0.8,928631,8317,0.935,0.6,399390,4011,0.963,0.7,143168,1385,0.983,0.5
        1.01 to 1.50,25793,2764,0.039,0.4,8449,1700,0.022000000000000002,0.4,5872,1827,0.012,0.4,7848,2246,0.023,0.7,42968,4499,0.043,0.5,8966,2148,0.022000000000000002,0.5,1705,655,0.012,0.4
        1.51 or more,23348,2950,0.035,0.4,3974,1263,0.01,0.3,2954,1322,0.006,0.3,4625,1525,0.013999999999999999,0.4,21713,3608,0.022000000000000002,0.4,6590,1567,0.016,0.4,728,420,0.005,0.3
VALUE,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Owner-occupied units,360190,5723,3601.9,N/A,252963,4412,2529.63,N/A,307341,5811,3073.41,N/A,180349,6145,1803.49,N/A,499830,7833,4998.3,N/A,280307,4684,2803.07,N/A,113560,2790,1135.6,N/A
        Less than $50000,5404,1226,0.015,0.3,4342,1160,0.017,0.5,6941,1537,0.023,0.5,2620,1105,0.015,0.6,18841,2745,0.038,0.5,3281,862,0.012,0.3,1535,647,0.013999999999999999,0.6
        $50000 to $99999,2613,753,0.006999999999999999,0.2,1575,606,0.006,0.2,2757,955,0.009000000000000001,0.3,2163,739,0.012,0.4,12859,2014,0.026000000000000002,0.4,2094,708,0.006999999999999999,0.3,444,431,0.004,0.4
        $100000 to $149999,4490,1078,0.012,0.3,1779,718,0.006999999999999999,0.3,3928,1332,0.013000000000000001,0.4,2530,1222,0.013999999999999999,0.7,25278,2584,0.051,0.5,1148,677,0.004,0.2,651,416,0.006,0.4
